serviceProviderEmail,companyName,city,businessCategoryName,phone,email,address,postalCode,keywords
tiffitprovider@tiffit.com,Tiffit,Chennai,Home food,+91-44-12345678,info@tiffit.com,Anna Nagar,600040,"homemade,delivery,tiffin,veg,non-veg"
vadumangaiprovider@vadumangai.com,Vadumangai,Chennai,Home food,+91-98400-12345,orders@vadumangai.com,Madippakkam,600091,"vegetarian,lunch,dinner,subscription,south-indian"
maavaduprovider@maavadu.in,Maavadu,Chennai,Home food,+91-44-28512345,contact@maavadu.in,Adyar,600020,"home-delivery,authentic,meals,chennai,healthy"
dhiviprovider@dhivikitchen.com,Dhivi's Kitchen,Chennai,Home food,+91-98412-34567,dhivi@dhivikitchen.com,Sringeri Mutt Rd RA Puram ,600028,"homecooked,lunch,snacks,biryani,veg"
dailyboxprovider@dailybox.co.in,DailyBox,Chennai,Home food,+91-44-40012345,hello@dailybox.co.in,Medavakkam,600100,"tiffin,subscription,bachelors,healthy,homemade"
info@selvarangamhospital.com,Selvarangam Hospital,Chennai,Doctors,044-26261212,info@selvarangamhospital.com,Anna Nagar East,600102,"general,consultation,emergency,hospital,anna-nagar"
info@rathimedhospital.com,Rathimed Speciality Hospital,Chennai,Doctors,044-26261212,info@rathimedhospital.com,Q-102 3rd Ave Block Q Anna Nagar,600040,"speciality,physician,anna-nagar,healthcare,clinic"
vihaahospital2017@gmail.com,Vihaa Multispeciality Hospital,Chennai,Doctors,+91-9710400000,vihaahospital2017@gmail.com,3rd Ave Block E Annanagar East,600102,"multispeciality,doctors,anna-nagar,emergency,consultation"
reachus@orthoindehospital.in,Ortho Inde Hospital,Chennai,Doctors,+91-9840079008,reachus@orthoindehospital.in,17/1 Plot No 948-A 13th Main Road H Block Anna Nagar,600040,"ortho,doctors,surgery,anna-nagar,consultation"
drvijayshospital1@gmail.com,Dr Vijays Hospital,Chennai,Doctors,+91-9840731328,drvijayshospital1@gmail.com,1 Thiruvalluvar Salai Kongu Nagar Mogappair East,600037,"general,medicine,mogappair,hospital,doctors"
bookings@oliveltours.com,Olive Tours & Travels,Chennai,Travel agencies,8122121311,bookings@oliveltours.com,Velachery Bypass Rd Velachery,600042,"travel,trip,vacation,journey,adventure,tour"
contact@chennaitravels.in,Chennai Travels,Chennai,Travel agencies,7550078781,contact@chennaitravels.in,2nd Main Road Raghava Nagar Moovarasampet,600091,"travel,trip,vacation,journey,adventure,tour"
aktravelss@gmail.com,AK Travel Services,Chennai,Travel agencies,04448599566,aktravelss@gmail.com,Chennai - 600094,600094,"travel,trip,vacation,journey,adventure,tour"
info@annanagarautoservice.com,Anna Nagar Auto Service,Chennai,Auto Services,,info@annanagarautoservice.com,Anna Nagar 3rd Main Rd Block E Annanagar East,600102,"car,auto,vehicle,repair,maintenance,service"
gomechanicprovider@gomechanic.in,GoMechanic Anna Nagar,Chennai,Auto Services,,support@gomechanic.in,Anna Nagar Chennai,600040,"car,auto,vehicle,repair,maintenance,service"
info@hometriangle.com,HomeTriangle Services,Chennai,Home Services,,info@hometriangle.com,Chennai (various locations),600001,"home,repair,maintenance,plumbing,electric,house cleaning,fix"
info@m-tutor.com,M Tutor,Chennai,Learning and tutoring,8754548383,info@m-tutor.com,W Block Sector C Anna Nagar West,600101,"education,tutoring,learning,teaching,lessons,classes"
info@perfecttutor.in,Perfect Tutor,Chennai,Learning and tutoring,,info@perfecttutor.in,Chennai (home visits),600001,"education,tutoring,learning,teaching,lessons,classes"
9884699911@alwayscool.in,Alwayscool AC Services,Chennai,AC Repair,9884699911,support@alwayscool.in,Chennai (doorstep),600001,"AC,air conditioning,cooling,temperature,repair,service"
info@hometriangle.com,HomeTriangle Plumbers,Chennai,Plumbing,,info@hometriangle.com,Chennai (various),600001,"plumbing,pipe,leak,water,repair,maintenance"
info@fasthelp.in,Fast Help Plumbing,Chennai,Plumbing,,info@fasthelp.in,Chennai (doorstep),600001,"plumbing,pipe,leak,water,repair,maintenance"
info@servicetree.in,ServiceTree Plumbing,Chennai,Plumbing,04440114081,info@servicetree.in,Chennai,600001,"plumbing,pipe,leak,water,repair,maintenance"
info@hometriangle.com,HomeTriangle Electric,Chennai,Electrical,,info@hometriangle.com,Chennai (various),600001,"electrical,wiring,electric,power,installation,repair"
info@fasthelp.in,Fast Help Electrical,Chennai,Electrical,,info@fasthelp.in,Chennai (doorstep),600001,"electrical,wiring,electric,power,installation,repair"
info@hometriangle.com,HomeTriangle Cleaning,Chennai,House Cleaning,,info@hometriangle.com,Chennai (various),600001,"cleaning,house,home,wash,dust,tidy"
info@fasthelp.in,Fast Help Cleaning,Chennai,House Cleaning,,info@fasthelp.in,Chennai (doorstep),600001,"cleaning,house,home,wash,dust,tidy"
gomechanicprovider@gomechanic.in,GoMechanic Car Service,Chennai,Car Service,,support@gomechanic.in,Anna Nagar Chennai,600040,"car,vehicle,auto,service,repair,maintenance"
info@annanagarautoservice.com,Anna Nagar Car Service,Chennai,Car Service,,info@annanagarautoservice.com,Anna Nagar 3rd Main Rd,600102,"car,vehicle,auto,service,repair,maintenance"
info@fasthelp.in,Fast Help Packers,Chennai,Packers & Movers,,info@fasthelp.in,Chennai (relocation),600001,"moving,relocation,packers,movers,transport,shift"
info@hometriangle.com,HomeTriangle Movers,Chennai,Packers & Movers,,info@hometriangle.com,Chennai (various),600001,"moving,relocation,packers,movers,transport,shift"
